epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,438.176,0.82811,1.28928,0.43226,0.03497,0.28616,0.02078,0.00733,0.72928,1.25792,0.43887,3.32627e-05,3.32627e-05,0.0667706
2,851.351,0.54453,1.25075,0.23994,0.3662,0.35834,0.108,0.06227,0.36073,1.36105,0.1561,6.65798e-05,6.65798e-05,0.0334705
3,1265.54,0.46946,1.1407,0.20132,0.43841,0.35963,0.21883,0.13322,0.3736,1.19452,0.18214,9.98318e-05,9.98318e-05,0.000170453
4,1678.48,0.46359,0.85581,0.21118,0.60886,0.72328,0.62997,0.35305,0.43924,0.74032,0.23885,9.97803e-05,9.97803e-05,9.97803e-05
5,2090.95,0.47092,0.67695,0.21313,0.69263,0.80863,0.74525,0.41315,0.45174,0.59637,0.23622,9.96097e-05,9.96097e-05,9.96097e-05
6,2503.23,0.46881,0.61235,0.21282,0.7923,0.8375,0.81603,0.47388,0.43892,0.50664,0.22529,9.93906e-05,9.93906e-05,9.93906e-05
7,2915.88,0.46332,0.56972,0.20894,0.81963,0.86689,0.86078,0.47198,0.46596,0.49836,0.24671,9.91232e-05,9.91232e-05,9.91232e-05
8,3326.32,0.44992,0.54068,0.20576,0.85354,0.88445,0.88874,0.52191,0.42848,0.46909,0.22363,9.88079e-05,9.88079e-05,9.88079e-05
9,3737.18,0.44679,0.51993,0.19916,0.87754,0.89905,0.90088,0.50459,0.44388,0.46245,0.23552,9.84449e-05,9.84449e-05,9.84449e-05
10,4146.92,0.43779,0.508,0.19613,0.87757,0.88295,0.8956,0.51824,0.44277,0.45231,0.23208,9.80345e-05,9.80345e-05,9.80345e-05
11,4556.49,0.4346,0.50357,0.19465,0.87242,0.88725,0.88226,0.4823,0.46874,0.46728,0.2482,9.75773e-05,9.75773e-05,9.75773e-05
12,4966.81,0.43161,0.49344,0.19175,0.89558,0.89305,0.90926,0.51788,0.43543,0.44328,0.22583,9.70736e-05,9.70736e-05,9.70736e-05
13,5377.52,0.4249,0.48758,0.18725,0.88238,0.90971,0.90817,0.53456,0.42685,0.4373,0.22187,9.65239e-05,9.65239e-05,9.65239e-05
14,5788.75,0.41556,0.48595,0.18446,0.9007,0.90592,0.90918,0.54769,0.413,0.42187,0.20644,9.59289e-05,9.59289e-05,9.59289e-05
15,6198.66,0.41303,0.48584,0.18183,0.87518,0.90017,0.88093,0.49679,0.45125,0.45009,0.23925,9.52889e-05,9.52889e-05,9.52889e-05
16,6607.91,0.41746,0.47545,0.18663,0.91443,0.92137,0.92834,0.53956,0.4262,0.42418,0.22103,9.46048e-05,9.46048e-05,9.46048e-05
17,7019.07,0.41008,0.46658,0.18612,0.90951,0.92156,0.92162,0.5504,0.41415,0.42439,0.21409,9.38772e-05,9.38772e-05,9.38772e-05
18,7430.5,0.4058,0.46214,0.17991,0.91968,0.92412,0.93285,0.56342,0.4045,0.40696,0.20428,9.31067e-05,9.31067e-05,9.31067e-05
19,7842.75,0.40451,0.46097,0.17857,0.92246,0.92239,0.92861,0.56773,0.40076,0.41538,0.20015,9.22942e-05,9.22942e-05,9.22942e-05
20,8254.21,0.39785,0.44976,0.17549,0.91879,0.92447,0.93339,0.57121,0.39971,0.40827,0.20201,9.14405e-05,9.14405e-05,9.14405e-05
21,8666.18,0.39801,0.44563,0.17563,0.92696,0.91873,0.9257,0.56134,0.40649,0.4127,0.20631,9.05463e-05,9.05463e-05,9.05463e-05
22,9076.87,0.39636,0.44393,0.17595,0.91957,0.92356,0.92811,0.54182,0.42744,0.42411,0.22843,8.96127e-05,8.96127e-05,8.96127e-05
23,9488.31,0.39389,0.44253,0.17393,0.91418,0.92108,0.91815,0.544,0.41821,0.42097,0.21571,8.86404e-05,8.86404e-05,8.86404e-05
24,9899.8,0.39329,0.43732,0.17224,0.91261,0.92235,0.91266,0.54483,0.41698,0.43017,0.21775,8.76305e-05,8.76305e-05,8.76305e-05
25,10313.2,0.38875,0.43913,0.17187,0.9246,0.92033,0.92461,0.55723,0.41385,0.41047,0.21118,8.65839e-05,8.65839e-05,8.65839e-05
26,10724.7,0.38177,0.43744,0.16603,0.92698,0.92143,0.92777,0.55595,0.41493,0.41516,0.21475,8.55018e-05,8.55018e-05,8.55018e-05
27,11136.4,0.38419,0.4346,0.16668,0.93386,0.92318,0.93289,0.56536,0.40488,0.40243,0.20772,8.43851e-05,8.43851e-05,8.43851e-05
28,11548,0.38041,0.43406,0.16692,0.93133,0.93406,0.93994,0.56969,0.40745,0.42127,0.21311,8.32349e-05,8.32349e-05,8.32349e-05
